line_num,color_patch,cie_lstar,cie_astar,cie_bstar,rank,inhull,numhulls,dist0,dist1,dist2
867,PANTONE 657 C,87.5,-1.44,-12.18,0.0,False,0,2.87160896739,4.42584562221,8.06123226888
868,PANTONE 658 C,81.01,-2.32,-19.65,0.0,False,0,0.586761696696,6.79488523765,8.47240794199
872,PANTONE 662 C,13.62,20.71,-54.23,0.0,False,0,1.79396879182,3.99752434915,46.5038696099
882,PANTONE 7452 C,64.21,6.24,-38.41,0.0,False,0,0.194699839648,8.86294054325,23.5865802311
887,PANTONE 2120 C,82.07,-0.73,-16.73,0.0,False,0,0.632684195842,4.41769888962,6.604605647
894,PANTONE 2706 C,83.86,1.56,-14.39,0.0,False,0,3.34892890116,3.67326461848,4.81643367049
895,PANTONE 2716 C,71.53,6.09,-30.27,0.0,False,0,1.9523696014,5.86531956315,15.6745292693
896,PANTONE 2726 C,40.78,20.49,-61.66,0.0,False,0,1.21410680139,9.00325758701,50.2362585982
860,PANTONE 650 C,86.1,-1.28,-10.49,0.0,False,0,2.06680537925,2.22879627804,6.72154745936
897,PANTONE 2736 C,21.47,38.15,-72.9,0.0,False,0,0.627050203574,2.5470063654,55.6360751784
900,PANTONE 2766 C,12.93,11.5,-32.72,0.0,False,0,1.51397770312,11.5323994288,24.1725048467
904,PANTONE 2738 C,13.86,36.17,-65.64,0.0,False,0,2.98300528992,6.43252522438,51.6819842885
905,PANTONE 2748 C,13.49,21.08,-50.65,0.0,False,0,1.97900423073,3.86368986429,43.903256926
907,PANTONE 2768 C,12.13,6.58,-29.03,0.0,False,0,1.33985364357,16.0056320261,18.2228294393
908,PANTONE 2707 C,85.53,-2.01,-14.1,0.0,False,0,1.51959303842,4.77541621876,8.27840074774
909,PANTONE 2717 C,80.01,-2.61,-23.19,0.0,False,0,1.71855405282,9.62437010926,9.64667725268
910,PANTONE 2727 C,54.6,2.29,-56.45,0.0,False,0,3.20971221893,21.0019267443,40.6369120175
911,PANTONE Blue 072 C,15.11,45.12,-77.88,0.0,False,0,7.18924655517,8.83603983694,59.5007391653
912,PANTONE 2747 C,14.53,21.87,-56.11,0.0,False,0,1.27454529303,2.57372685637,48.6507843159
899,PANTONE 2756 C,16.07,19.81,-46.74,0.0,False,0,0.210847961647,3.22477548296,39.9304141618
859,PANTONE 649 C,88.04,-0.86,-8.26,0.0,False,0,1.89628035755,3.55205437265,6.47618714986
858,PANTONE 648 C,13.01,1.11,-29.42,0.0,False,0,0.0982222140939,15.0350189002,20.1572920719
852,PANTONE 642 C,85.59,-2.24,-7.95,0.0,False,0,0.17558102434,1.92834928445,6.97681027062
767,PANTONE 5255 C,15.75,9.76,-19.81,0.0,False,0,2.91404282271,11.1254635946,13.2117611839
769,PANTONE 2359 C,50.02,7.64,-8.69,0.0,False,0,2.83841507661,2.91369420249,7.76297214082
770,PANTONE 2360 C,52.03,4.66,-12.44,0.0,False,0,2.52708414386,2.89791184599,4.92418260189
771,PANTONE 2361 C,47.76,4.93,-17.02,0.0,False,0,0.1410183365,5.54259659637,5.74858218387
772,PANTONE 2362 C,45.62,5.09,-13.82,0.0,False,0,2.39834504842,4.00359325363,5.44564525452
773,PANTONE 2363 C,40.07,5.81,-14.3,0.0,False,0,2.97472754709,5.14404679986,5.75290171542
774,PANTONE 2364 C,39.67,9.26,-9.89,0.0,False,0,2.84745781595,5.36815636624,8.32473439789
775,PANTONE 2106 C,72.85,2.17,-14.37,0.0,False,0,0.606592199655,1.5334035227,3.76885044477
791,PANTONE 2368 C,36.8,26.06,-62.2,0.0,False,0,0.461587300798,4.84141287437,48.6862869379
795,PANTONE 2372 C,21.71,22.64,-49.05,0.0,True,2,0.896453750586,0.994941097027,43.0982053619
801,PANTONE 533 C,18.32,1.66,-16.91,0.0,False,0,3.50776667661,5.48536842254,16.4969573294
809,PANTONE 7547 C,9.58,-2.02,-7.65,0.0,False,0,0.207105482188,14.6279414234,20.7925587651
811,PANTONE 2163 C,64.71,-3.63,-13.13,0.0,True,2,1.55595029202,1.94147896007,10.9174590674
812,PANTONE 2164 C,61.98,-4.85,-14.37,0.0,True,2,0.298190555305,2.88041731301,12.4638850217
816,PANTONE 2168 C,24.83,-9.16,-15.94,0.0,False,0,1.36067018232,2.1646209845,18.366734168
822,PANTONE 2379 C,32.46,-0.33,-14.3,0.0,False,0,1.25409950012,3.19013948892,13.1936132261
823,PANTONE 2380 C,23.51,-0.4,-16.43,0.0,False,0,2.69001334194,3.41084425291,15.7026192828
828,PANTONE 548 C,20.86,-22.46,-13.84,0.0,False,0,1.80031339751,12.222802461,13.4873248048
829,PANTONE 547 C,16.2,-15.68,-10.21,0.0,False,0,5.74242888628,7.57213683014,14.4968709863
830,PANTONE 546 C,16.06,-10.85,-7.3,0.0,False,0,1.05044690676,11.0457704701,14.8298831811
833,PANTONE 5435 C,75.9,-4.47,-9.99,0.0,True,2,1.00434757916,1.37219897635,10.1560352553
613,PANTONE 5185 C,27.37,16.75,-7.27,0.0,False,0,3.06067086072,10.7689890647,11.3092834642
612,PANTONE 5195 C,35.59,17.61,-7.66,0.0,False,0,2.28294450399,11.3824496425,12.0315911198
611,PANTONE 5205 C,45.37,17.47,-6.78,0.0,False,0,2.80832669673,9.25049064759,9.90024289119
610,PANTONE 5215 C,63.28,13.44,-5.57,0.0,False,0,2.4729988317,5.28335826392,6.05193350786
469,PANTONE 679 C,79.21,16.66,-8.79,0.0,False,0,0.609177723038,2.16912035109,6.39067636551
474,PANTONE 2050 C,87.11,12.04,-4.52,0.0,False,0,0.787274126469,3.58736464573,4.25217610101
477,PANTONE 2053 C,57.61,26.31,-8.58,0.0,False,0,0.442859374085,3.89827521568,7.33021823512
478,PANTONE 2054 C,50.96,23.77,-6.31,0.0,False,0,1.96534304361,4.98460928704,8.24381976562
479,PANTONE 2055 C,44.84,26.24,-6.36,0.0,False,0,2.17963647076,5.7927672335,8.74975223373
480,PANTONE 2056 C,36.77,28.4,-5.48,0.0,False,0,2.7752826328,7.39781233562,9.10181683655
487,PANTONE 690 C,23.84,33.68,-3.13,0.0,False,0,3.67978134299,8.50866551697,9.20829840231
489,PANTONE 509 C,79.18,23.49,-0.87,0.0,True,2,0.390532281953,3.10701835505,12.2456479885
490,PANTONE 508 C,75.2,27.38,-0.43,0.0,True,2,1.50674847153,4.64706919945,14.0633177885
461,PANTONE 2044 C,71.13,36.06,-5.41,0.0,True,2,0.322292628332,4.16013501055,15.1785315685
491,PANTONE 507 C,68.94,31.53,-1.31,0.0,True,2,3.54074338087,4.9119799687,14.5194493062
504,PANTONE 693 C,70.66,22.02,2.03,0.0,True,2,1.39401990125,3.16961274707,10.2834370273
505,PANTONE 694 C,61.91,28.13,2.86,0.0,True,2,1.9506332106,4.37774942036,10.4875989254
506,PANTONE 695 C,53.46,32.91,3.93,0.0,True,2,2.229789127,5.26965848965,10.0502309121
507,PANTONE 696 C,41.51,36.0,7.53,0.0,True,2,0.586629338861,5.23350957135,5.77919584623
510,PANTONE 495 C,80.44,21.26,-0.76,0.0,True,2,0.257976522251,2.9024130714,11.2344440486
511,PANTONE 494 C,74.41,28.12,0.86,0.0,True,2,1.01913459634,5.7647247145,15.2943295074
512,PANTONE 493 C,66.48,35.43,3.28,0.0,True,2,0.756170615688,7.80177542044,16.9654780719
514,PANTONE 491 C,35.98,34.79,12.69,0.0,False,0,0.0429709321954,0.581266231238,6.35811868199
517,PANTONE 502 C,80.97,14.84,1.31,0.0,True,2,0.483463315641,1.97537367456,8.58933798165
503,PANTONE 692 C,80.08,14.73,0.64,0.0,True,2,1.12391595412,1.28889206237,8.15833014159
453,PANTONE 670 C,86.96,12.08,-5.58,0.0,False,0,0.440164564233,3.4680910889,4.57330873272
446,PANTONE 230 C,77.77,36.58,-11.41,0.0,False,0,0.401191866931,7.75840665605,13.0667089073
